epoch,step,train/Accuracy,train/IoU,train/loss,val/Accuracy,val/IoU,val/loss
0,124,,,,0.23742268979549408,0.13960164785385132,1.4947078227996826
0,124,0.2664285898208618,0.18553680181503296,1.3887840509414673,,,
